CHART														
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR		
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	6	37.5	1.06056699908083E-10	SINMEB_5740	8	6	679	84.875	5.30283594812886E-10	5.30283499540413E-10	5.30283499540413E-10		
INTERPRO	IPR013597:Group II intron, maturase-specific	6	37.5	2.82789012581199E-10	SINMEB_5740	12	6	1034	86.1666666666667	3.67625718755704E-09	1.22541905451853E-09	1.22541905451853E-09		
INTERPRO	IPR000477:Reverse transcriptase	6	37.5	2.82789012581199E-10	SINMEB_5740	12	6	1034	86.1666666666667	3.67625718755704E-09	1.22541905451853E-09	1.22541905451853E-09		
INTERPRO	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA	6	37.5	2.82789012581199E-10	SINMEB_5740	12	6	1034	86.1666666666667	3.67625718755704E-09	1.22541905451853E-09	1.22541905451853E-09		
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	6	37.5	2.8314820588583E-10	SINMEB_5740	11	6	916	83.2727272727273	2.83148171575931E-09	2.8314820588583E-09	2.8314820588583E-09		
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	6	37.5	2.9672814548749E-10	SINMEB_5740	7	6	431	61.5714285714286	8.90184592705623E-10	1.18691258194996E-09	1.18691258194996E-09		
GOTERM_MF_DIRECT	GO:0003723~RNA binding	6	37.5	3.70279290130476E-10	SINMEB_5740	8	7	679	72.75	1.85139625852315E-09	9.25698225326191E-10	9.25698225326191E-10		
UP_KW_MOLECULAR_FUNCTION	KW-0548~Nucleotidyltransferase	6	37.5	3.87074901584469E-08	SINMEB_5740	7	12	431	30.7857142857143	1.16122466198298E-07	7.74149803168938E-08	7.74149803168938E-08		
UP_KW_MOLECULAR_FUNCTION	KW-0808~Transferase	6	37.5	0.004029464179507	SINMEB_5740	7	106	431	3.48517520215633	0.012039748218522	0.005372618906009	0.005372618906009		
														
														
														
CLUSTERING														
Annotation Cluster 1	Enrichment Score: 8.54823666731734													
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR		
GOTERM_MF_DIRECT	GO:0003964~RNA-directed DNA polymerase activity	6	37.5	1.06056699908083E-10	SINMEB_5740	8	6	679	84.875	5.30283594812886E-10	5.30283499540413E-10	5.30283499540413E-10		
INTERPRO	IPR000123:RNA-directed DNA polymerase (reverse transcriptase), msDNA	6	37.5	2.82789012581199E-10	SINMEB_5740	12	6	1034	86.1666666666667	3.67625718755704E-09	1.22541905451853E-09	1.22541905451853E-09		
INTERPRO	IPR000477:Reverse transcriptase	6	37.5	2.82789012581199E-10	SINMEB_5740	12	6	1034	86.1666666666667	3.67625718755704E-09	1.22541905451853E-09	1.22541905451853E-09		
INTERPRO	IPR013597:Group II intron, maturase-specific	6	37.5	2.82789012581199E-10	SINMEB_5740	12	6	1034	86.1666666666667	3.67625718755704E-09	1.22541905451853E-09	1.22541905451853E-09		
UP_SEQ_FEATURE	DOMAIN:Reverse transcriptase	6	37.5	2.8314820588583E-10	SINMEB_5740	11	6	916	83.2727272727273	2.83148171575931E-09	2.8314820588583E-09	2.8314820588583E-09		
UP_KW_MOLECULAR_FUNCTION	KW-0695~RNA-directed DNA polymerase	6	37.5	2.9672814548749E-10	SINMEB_5740	7	6	431	61.5714285714286	8.90184592705623E-10	1.18691258194996E-09	1.18691258194996E-09		
GOTERM_MF_DIRECT	GO:0003723~RNA binding	6	37.5	3.70279290130476E-10	SINMEB_5740	8	7	679	72.75	1.85139625852315E-09	9.25698225326191E-10	9.25698225326191E-10		
